MAE,RMSE,R2,MAPE(%),Fold,Model,Split
0.9784143526602601,2.2139361434114413,0.9603231454086191,9.304145997991602,1,Model A,80:20
0.9842224831314182,2.126007094452646,0.9594471342792752,9.151962700817005,2,Model A,80:20
0.9817092188656273,2.3673122145209677,0.9525188327853318,9.244996316133399,3,Model A,80:20
1.0017312269464982,4.719876604968765,0.8408712096221831,9.285828439652459,4,Model A,80:20
0.9515942212923612,1.976077498970619,0.9642852702189068,9.564814498464148,5,Model A,80:20
1.1248697133987247,2.4230224244329346,0.9524750222712988,10.85128805206093,1,Model B,80:20
1.1152741724651953,2.302317138079854,0.9524421269316447,10.616428636291907,2,Model B,80:20
1.1306332954246097,2.562893214942515,0.9443492103157336,10.782176296908872,3,Model B,80:20
1.1328679019734267,4.903458801671278,0.828251665773543,10.833501739438873,4,Model B,80:20
1.0751375696311096,2.043299962169267,0.9618140432349448,11.039429706812872,5,Model B,80:20
1.3244127769169434,2.977966342447848,0.9282128643494364,12.926461289207788,1,Model D,80:20
1.3351421535761232,2.8507589375219604,0.9270856313126091,12.808433232178777,2,Model D,80:20
1.348965755104065,3.080862773436266,0.9195816759753827,12.846914214982313,3,Model D,80:20
1.3374349615654393,5.163855056706265,0.8095260626556746,12.951483553881909,4,Model D,80:20
1.293167677500503,2.440992143137903,0.945503051426096,13.269717477189054,5,Model D,80:20
1.1313600534188304,2.4791739501877164,0.9502467958425564,11.04525172198747,1,Model C,80:20
1.1446283412621798,2.518568220054389,0.9430885607427851,10.78996771884822,2,Model C,80:20
1.1435568542715033,2.6733674902667266,0.9394481197094666,10.85383739136989,3,Model C,80:20
1.158030157655954,4.652297716624986,0.8453953791821559,10.871285008494464,4,Model C,80:20
1.1322506131823202,2.541304613034751,0.9409319175812834,11.358523418379917,5,Model C,80:20
1.088306243950136,5.157958121742227,0.8329360955979838,9.44704916785175,1,Model A,70:30
0.971459001319004,2.2701662563834226,0.9492608336419319,10.065028891217635,2,Model A,70:30
1.0016848327203955,2.2119739085953047,0.958460905893576,9.366068123041792,3,Model A,70:30
0.9895753689823689,2.4506921988105033,0.9478109031987632,9.39848749792794,4,Model A,70:30
0.9615786400442983,1.9219697198044978,0.9676194007863976,9.151972531023198,5,Model A,70:30
1.2087754023028492,5.091738303516948,0.8371982187126493,10.883921508527312,1,Model B,70:30
1.0880165978317242,2.266342341943605,0.9494316218587423,11.46507679333324,2,Model B,70:30
1.1309460997772756,2.2171090360010055,0.9582678148819164,10.895410283537197,3,Model B,70:30
1.1387983941641118,2.449259692308008,0.9478718976969083,10.995540678011178,4,Model B,70:30
1.1033094786504927,2.130035382752094,0.9602290985972695,10.807084920588366,5,Model B,70:30
1.414013267250323,5.388391523631285,0.8176753904864048,12.976953609004536,1,Model D,70:30
1.2977092831344976,2.8561249872408707,0.9196876346543912,13.504138477706906,2,Model D,70:30
1.2893160566334978,2.364594103981352,0.9525309843520107,12.812500536685642,3,Model D,70:30
1.3553778268327188,2.925131207515868,0.925647950070599,13.112742039749717,4,Model D,70:30
1.3006961616666752,2.6821126957621546,0.9369411795650463,12.69925554334273,5,Model D,70:30
1.2599158420936651,5.302101373005921,0.8234681561457604,11.037813301091076,1,Model C,70:30
1.1210887193473613,2.6023532677345234,0.9333253872100694,11.604139556352477,2,Model C,70:30
1.1264469386794373,2.4783925722118805,0.9478520525859022,10.728747387211849,3,Model C,70:30
1.15846469172175,3.6546771529013653,0.8839352658981408,10.993750268525726,4,Model C,70:30
1.144566934854297,2.5182007596842078,0.9444130941917421,10.793208298772765,5,Model C,70:30
0.9501688827479784,2.0677221606250593,0.9625641042167298,8.95220547802809,1,Model A,90:10
0.9706298157760123,2.43275247312271,0.9478720156948137,9.756624708658112,2,Model A,90:10
0.9552012469465293,2.2933806601061675,0.9512269538813114,9.154917749837427,3,Model A,90:10
0.9540186446763673,2.194553694450541,0.9609332119622694,8.852498352190858,4,Model A,90:10
1.0077244181315856,4.46967684021118,0.8547238101111931,8.999673939574269,5,Model A,90:10
1.0856132673728505,2.383360271001638,0.9502625796856085,10.481397810734318,1,Model B,90:10
1.1202098129924052,2.5572353134751626,0.9424007972074903,11.368778372506366,2,Model B,90:10
1.0872950671715174,2.282122475564467,0.9517046314076835,10.628204250994818,3,Model B,90:10
1.1093166085798871,2.5327463584301246,0.9479646256955839,10.501996000305803,4,Model B,90:10
1.1323804302823592,4.461566315060477,0.8552505583361272,10.624419396976073,5,Model B,90:10
1.3395751311125421,3.026713237285813,0.9197866937995287,12.749564866196812,1,Model D,90:10
1.355174013098647,3.0786304676371152,0.9165185060314692,13.6307265719404,2,Model D,90:10
1.3242519293114337,2.761871218192136,0.9292649870930281,12.986537932060829,3,Model D,90:10
1.3284954441464658,2.8648315570349774,0.9334246485807252,12.86242190909958,4,Model D,90:10
1.352994649343554,4.78278949665455,0.8336569249175718,12.890703061325572,5,Model D,90:10
1.1328456884474785,2.5636800691871877,0.9424518298303572,10.620623863540363,1,Model C,90:10
1.1487085589444115,2.688767431590957,0.9363231510220944,11.598394755821223,2,Model C,90:10
1.1136346023680388,2.5540113344197732,0.9395114423029314,10.765125039933535,3,Model C,90:10
1.1266594833708847,3.1192681427326643,0.9210738891258137,10.629442397114659,4,Model C,90:10
1.1691355364991476,4.6668308200716355,0.8416251171208279,10.663017946552458,5,Model C,90:10
